"Varieties,Year of Release,Sowing Time,Yield Potential (Maunds/Acre),Recommended Areas,Salient Features,G.O.T (%),SL (mm),Mike (μg/inch),Strength (tppsi)"
"S-14,1995,1st May-31st May,35 to 40,All Areas of Punjab,43.9,29.5,4.2,93.6"
"SLS-1,1995,1st May-31st May,30 to 35,All Areas of Punjab,36.8,27.4,4.6,95.3"
"MNH147,1992,1st May-31st May,30 to 35,All Areas of Punjab,42.5,27.3,4.0,96.6"
"BH-36,1992,1st May-31st May,30 to 35,All Areas of Punjab,35.0,28.3,4.0,87.0"
"Gohar-87,1990,1st May-31st May,30 to 35,All Areas of Punjab,34.5,27.2,4.4,92.6"
"RH-1,1990,1st May-31st May,30 to 35,All Areas of Punjab,31.5,29.0,3.9,103.7"
"S-12,1988,1st May-31st May,35 to 40,All Areas of Punjab,41.2,28.2,4.4,93.0"
"FH-87,1988,1st May-31st May,30 to 35,All Areas of Punjab,33.8,28.5,4.3,95.0"
"MNH129,1985,1st May-31st May,30 to 35,All Areas of Punjab,38.6,28.7,4.4,95.4"
"SLH-41,1985,1st May-31st May,25 to 30,All Areas of Punjab,36.5,27.7,4.4,89.0"
"MS-84,1983,1st May-31st May,20 to 25,All Areas of Punjab,34.5,33.0,3.9,91.4"
"MNS-79,1983,1st May-31st May,20 to 25,All Areas of Punjab,36.5,27.5,4.4,99.3"
"MNH-93,1980,1st May-31st May,30 to 35,All Areas of Punjab,37.5,28.4,4.5,94.0"
"B-557,1975,1st May-10th June,20 to 25,All Areas of Punjab,34.5,27.5,4.5,92.5"
"149-F,1971,1st May-10th June,20 to 25,All Areas of Punjab,34.5,28.0,4.1,94.3"
"MS-40,1970,1st May-10th June,15 to 20,All Areas of Punjab,32.7,31.3,3.8,88.0"
"MS-39,1970,1st May-10th June,15 to 20,All Areas of Punjab,33.6,31.5,3.8,87.5"
"BS-1,1962,1st May-10th June,15 to 20,All Areas of Punjab,34.5,25.0,4.5,91.5"
"AC-134,1959,1st May-10th June,15 to 20,All Areas of Punjab,34.5,26.5,4.5,92.5"
"L-11,1959,1st May-10th June,15 to 20,All Areas of Punjab,33.7,27.7,4.0,90.0"
"199-F,1946,1st May-15th June,15 to 20,All Areas of Punjab,35.0,25.0,4.5,90.0"
"124-F,1945,1st May-15th June,15 to 20,All Areas of Punjab,33.0,25.0,4.7,95.0"
"289 F/43,1934,1st May-15th June,15 to 20,All Areas of Punjab,30.0,24.0,4.5,93.5"
"LSS,1933,1st May-15th June,15 to 20,All Areas of Punjab,32.0,23.0,5.0,85.0"
"4-F,1914,1st May-15th June,15 to 20,All Areas of Punjab,32.0,21.5,5.0,85.0"
""
""
